Title,Erf_Size,No_Of_Bedrooms,No_Of_Bathrooms,No_Of_Garages,Price
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        787
                    </span>",3,2.5,Erf Size:787m²,P 2 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        807
                    </span>",3,1,Erf Size:807m²,P 1 400 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        450
                    </span>",3,3,,P 1 200 000
4 Bedroom House for sale in Extension 11,"<span class=""sizeUnits"">
                        1,765
                    </span>",4,3,2,P 7 500 000
4 Bedroom House for sale in Phakalane,,4,2,2,P 1 900 000
5 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,307
                    </span>",5,4,,P 3 400 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        510
                    </span>",3,3,2,P 1 800 000
4 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        7,373
                    </span>",4,4,1,P 1 500 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        736
                    </span>",3,2,2,P 2 400 000
4 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        508
                    </span>",4,2,Erf Size:508m²,P 1 350 000
3 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",3,2,,P 1 300 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 500
                    </span>",4,5,2,P 3 950 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        598
                    </span>",3,2,1,P 1 700 000
5 Bedroom House for sale in Ruretse,"<span class=""sizeUnits"">
                        4
                    </span>",5,3,,P 3 800 000
3 Bedroom House for sale in Notwane,"<span class=""sizeUnits"">
                        4
                    </span>",3,2,,P 2 950 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 160
                    </span>",4,"3,5",2,P 5 990 000
3 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",3,2,,P 1 300 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        525
                    </span>",3,3,,P 1 200 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 152
                    </span>",3,2,,P 2 800 000
3 Bedroom House for sale in Block 10,,3,2,1,P 1 650 000
3 Bedroom House for sale in Phakalane,,3,2,,P 1 700 000
5 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1 198
                    </span>",5,5,2,P 10 900 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 161
                    </span>",4,"3,5",2,P 2 950 000
4 Bedroom House for sale in Notwane,"<span class=""sizeUnits"">
                        2
                    </span>",4,2,2,P 4 995 000
3 Bedroom House for sale in Extension 44,"<span class=""sizeUnits"">
                        1 235
                    </span>",3,2,2,P 2 600 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 075
                    </span>",3,2,1,P 2 500 000
4 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        615
                    </span>",4,3,,P 1 800 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        494
                    </span>",3,2,1,P 1 180 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        625
                    </span>",4,2,2,P 1 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 050
                    </span>",3,3,1,P 1 875 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        712
                    </span>",3,2,,P 1 750 000
3 Bedroom House for sale in Block 7,"<span class=""sizeUnits"">
                        300
                    </span>",3,1,Erf Size:300m²,P 1 280 000
4 Bedroom House for sale in Extension 44,"<span class=""sizeUnits"">
                        1,080
                    </span>",4,4,2,P 3 900 000
3 Bedroom House for sale in Kgale,"<span class=""sizeUnits"">
                        574
                    </span>",3,2,1,P 1 500 000
3 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        1,300
                    </span>",3,2,1,P 3 500 000
3 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        792
                    </span>",3,2,Erf Size:792m²,P 2 190 000
7 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,400
                    </span>",7,7.5,"Erf Size:1,400m²",P 6 600 000
6 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,414
                    </span>",6,4,3,P 5 500 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        1,745
                    </span>",3,2,"Erf Size:1,745m²",P 2 600 000
4 Bedroom House for sale in Mokolodi 2,"<span class=""sizeUnits"">
                        2,970
                    </span>",4,3,2,P 4 300 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        2,494
                    </span>",4,3.5,2,P 8 000 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        525
                    </span>",3,1,Erf Size:525m²,P 990 000
7 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,400
                    </span>",7,7.5,"Erf Size:1,400m²",P 6 600 000
4 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        1,000
                    </span>",4,3.5,"Erf Size:1,000m²",P 3 800 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        832
                    </span>",4,3,2,P 5 350 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        700
                    </span>",4,3,2,P 2 100 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        752
                    </span>",4,2,1,P 1 800 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        976
                    </span>",4,2.5,1,P 2 650 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        612
                    </span>",5,4,1,P 2 500 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        300
                    </span>",3,4,1,P 1 280 000
5 Bedroom House for sale in Gaborone West Phase 1,"<span class=""sizeUnits"">
                        1,350
                    </span>",5,3,1,P 3 500 000
5 Bedroom House for sale in Phakalane,,5,5,2,P 5 750 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,050
                    </span>",3,2.5,"Erf Size:1,050m²",P 3 000 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        752
                    </span>",4,3,1,P 1 850 000
4 Bedroom House for sale in Extension 44,"<span class=""sizeUnits"">
                        1,073
                    </span>",4,4,2,P 3 900 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,200
                    </span>",4,4.5,2,P 2 995 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,375
                    </span>",3,2,2,P 2 200 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,050
                    </span>",3,2.5,"Erf Size:1,050m²",P 3 000 000
3 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        863
                    </span>",3,2,2,P 1 940 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,194
                    </span>",5,5,2,P 5 750 000
3 Bedroom House for sale in Village,,3,2,N/A,P 3 000 000
3 Bedroom House for sale in Block 10,,3,N/A,N/A,P 1 270 000
3 Bedroom House for sale in Tsholofelo,"<span class=""sizeUnits"">
                        300
                    </span>",3,4,1,P 1 280 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,075
                    </span>",3,2,1,P 2 700 000
5 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        4
                    </span>",5,4.5,,P 8 000 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        846
                    </span>",3,2,2,P 1 900 000
10 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,582
                    </span>",10,7,"Erf Size:1,582m²",P 5 900 000
6 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        4.3
                    </span>",6,2,3,P 3 300 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,296
                    </span>",5,3,2,P 4 000 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        880
                    </span>",4,2.5,1,P 2 650 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        846
                    </span>",3,2,2,P 2 000 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        599
                    </span>",3,3.5,Erf Size:599m²,P 2 700 000
House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 207
                    </span>",0,Erf Size:1 207m²,1 207,P 3 150 000
6 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        1 200
                    </span>",6,6,2,P 3 700 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        2 492
                    </span>",4,3,2,P 4 300 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        805
                    </span>",4,3,Erf Size:805m²,P 2 700 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        895
                    </span>",4,3,2,P 3 700 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        895
                    </span>",4,3,2,P 3 700 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        564
                    </span>",3,2,2,P 1 600 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        882
                    </span>",4,3,1,P 2 650 000
2 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        575
                    </span>",2,2,2,P 1 300 000
4 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        910
                    </span>",4,2,1,P 2 300 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 117
                    </span>",3,"2,5",2,P 1 800 000
6 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 414
                    </span>",6,4,3,P 5 500 000
4 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        1 200
                    </span>",4,2,2,P 2 500 000
7 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        2 046
                    </span>",7,7,Erf Size:2 046m²,P 5 400 000
3 Bedroom House for sale in Tsholofelo East,"<span class=""sizeUnits"">
                        300
                    </span>",3,1,Erf Size:300m²,P 1 250 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 582
                    </span>",3,2,Erf Size:1 582m²,P 1 100 000
4 Bedroom House for sale in Mokolodi 2,"<span class=""sizeUnits"">
                        2,68
                    </span>",4,3,4,P 3 600 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 120
                    </span>",4,3,Erf Size:1 120m²,P 3 500 000
4 Bedroom House for sale in Mokolodi 1,"<span class=""sizeUnits"">
                        2 550
                    </span>",4,4,2,P 3 300 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        500
                    </span>",3,2,Erf Size:500m²,P 2 150 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        768
                    </span>",5,3,2,P 2 800 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 152
                    </span>",4,2,2,P 2 800 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        882
                    </span>",4,3,1,P 2 650 000
3 Bedroom House for sale in Extension 9,"<span class=""sizeUnits"">
                        1 347
                    </span>",3,1,1,P 3 100 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        701
                    </span>",4,"2,5",1,P 2 350 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        708
                    </span>",3,2,2,P 2 350 000
2 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        480
                    </span>",2,1,Erf Size:480m²,P 625 000
3 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        415
                    </span>",3,2,,P 1 300 000
5 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1 252
                    </span>",5,5,1,P 12 500 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        413
                    </span>",3,1,Erf Size:413m²,P 1 400 000
4 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        1 028
                    </span>",4,3,1,P 3 800 000
6 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        880
                    </span>",6,5,Erf Size:880m²,P 2 600 000
5 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        1 645
                    </span>",5,2,2,P 2 600 000
5 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1 280
                    </span>",5,5,1,P 12 500 000
5 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1 280
                    </span>",5,5,1,P 12 500 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        300
                    </span>",3,3,1,P 1 300 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 080
                    </span>",4,3,Erf Size:1 080m²,P 3 400 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        2 086
                    </span>",4,3,4,P 6 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        839
                    </span>",3,1,Erf Size:839m²,P 2 000 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        1 348
                    </span>",3,2,2,P 1 250 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        2 500
                    </span>",4,3,2,P 8 000 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        2 500
                    </span>",5,4,2,P 8 000 000
3 Bedroom House for sale in Gaborone North,,3,2,2,P 4 000 000
14 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        5,001
                    </span>",14,14,"Erf Size:5,001m²",P 5 700 000
4 Bedroom House for sale in Tsholofelo,"<span class=""sizeUnits"">
                        450
                    </span>",4,3,2,P 1 600 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        420
                    </span>",4,4.5,2,P 3 800 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,748
                    </span>",3,2,"Erf Size:1,748m²",P 3 100 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        2
                    </span>",3,2,2,P 3 600 000
4 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        425
                    </span>",4,3,,P 1 400 000
3 Bedroom House for sale in Broadhurst,,3,2,N/A,P 1 500 000
3 Bedroom House for sale in Block 7,"<span class=""sizeUnits"">
                        300
                    </span>",3,3.5,1,P 1 300 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,000
                    </span>",4,4,"Erf Size:1,000m²",P 1 850 000
3 Bedroom House for sale in Block 7,"<span class=""sizeUnits"">
                        300
                    </span>",3,3.5,1,P 1 300 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        449
                    </span>",3,2,,P 1 600 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        846
                    </span>",3,2,2,P 3 900 000
8 Bedroom House for sale in Mokolodi 1,"<span class=""sizeUnits"">
                        2,309
                    </span>",8,4,4,P 6 000 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,375
                    </span>",4,2,1,P 3 000 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        452
                    </span>",3,2,1,P 1 820 000
3 Bedroom House for sale in Mokolodi 1,"<span class=""sizeUnits"">
                        3,470
                    </span>",3,2,4,P 3 900 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        517
                    </span>",4,3,,P 1 800 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        881
                    </span>",3,2,2,P 2 900 000
4 Bedroom House for sale in Phakalane,,4,4,2,P 2 950 000
3 Bedroom House for sale in Extension 11,,3,1,N/A,P 6 950 000
